,Tram_2,Tram_10,Tram_13,Tram_24,Tram_38
457,12.0,13.0,9.0,17.0,17.0
458,13.0,12.0,10.0,14.0,6.0
459,11.0,11.0,11.0,18.0,9.0
460,11.0,12.0,10.0,14.0,14.0
461,8.0,12.0,1.0,12.0,6.0
462,5.0,5.0,12.0,16.0,16.0
463,5.0,3.0,12.0,13.0,12.0
464,8.0,8.0,8.0,10.0,1.0
465,5.0,6.0,8.0,13.0,6.0
466,7.0,12.0,2.0,13.0,7.0
467,9.0,13.0,11.0,16.0,10.0
468,9.0,11.0,5.0,17.0,8.0
469,8.0,12.0,7.0,17.0,12.0
470,9.0,14.0,12.0,11.0,10.0
471,11.0,13.0,15.0,18.0,14.0
472,9.0,14.0,11.0,13.0,13.0
473,10.0,14.0,10.0,16.0,11.0
474,10.0,12.0,13.0,15.0,10.0
475,11.0,11.0,14.0,14.0,11.0
476,8.0,12.0,6.0,15.0,2.0
477,8.0,11.0,7.0,12.0,8.0
478,8.0,10.0,16.0,13.0,12.0
479,7.0,11.0,13.0,19.0,7.0
480,5.0,10.0,14.0,17.0,11.0
481,7.0,11.0,14.0,14.0,10.0
482,7.0,11.0,18.0,13.0,11.0
483,7.0,15.0,14.0,13.0,15.0
484,8.0,17.0,18.0,13.0,9.0
485,7.0,23.0,16.0,19.0,14.0
486,8.0,31.0,13.0,25.0,9.0
487,9.0,32.0,14.0,21.0,13.0
488,9.0,22.0,14.0,27.0,13.0
489,5.0,18.0,10.0,29.0,7.0
490,8.0,11.0,16.0,19.0,10.0
491,9.0,14.0,14.0,17.0,8.0
492,9.0,10.0,14.0,9.0,11.0
493,10.0,17.0,15.0,19.0,10.0
494,11.0,14.0,17.0,20.0,11.0
495,10.0,12.0,13.0,16.0,10.0
496,10.0,14.0,10.0,18.0,15.0
497,12.0,15.0,9.0,17.0,18.0
498,11.0,14.0,10.0,15.0,20.0
499,10.0,9.0,12.0,19.0,12.0
500,10.0,10.0,13.0,16.0,13.0
501,9.0,12.0,11.0,14.0,5.0
502,7.0,12.0,13.0,17.0,4.0
503,6.0,11.0,10.0,15.0,12.0
504,3.0,11.0,11.0,9.0,8.0
505,2.0,14.0,3.0,9.0,16.0
506,9.0,12.0,10.0,12.0,14.0
507,13.0,12.0,11.0,8.0,15.0
508,10.0,12.0,1.0,12.0,11.0
509,12.0,15.0,13.0,7.0,15.0
510,12.0,10.0,12.0,11.0,10.0
511,9.0,7.0,7.0,9.0,8.0
512,8.0,6.0,8.0,13.0,9.0
513,8.0,5.0,8.0,8.0,18.0
514,20.0,6.0,12.0,6.0,16.0
515,7.0,10.0,11.0,13.0,15.0
516,4.0,7.0,16.0,9.0,16.0
517,8.0,11.0,8.0,7.0,8.0
518,8.0,10.0,19.0,18.0,6.0
519,8.0,12.0,12.0,20.0,7.0
520,7.0,7.0,15.0,20.0,10.0
521,7.0,7.0,9.0,13.0,10.0
522,8.0,5.0,12.0,13.0,9.0
523,6.0,4.0,3.0,10.0,8.0
524,5.0,7.0,9.0,8.0,6.0
525,6.0,5.0,9.0,12.0,4.0
526,7.0,7.0,8.0,16.0,4.0
527,7.0,9.0,9.0,19.0,3.0
528,5.0,5.0,6.0,23.0,6.0
